MARKER_ID,BARCODE,CONTROL,FULL_NAME,ALT_ID
CD3,BC36,,,
CD4,BC42,,,
CD8,BC27,,,
CD86,BC33,,,
CD45RA,BC39,,,
CD45RO,BC43,,,
HLA-DR,BC35,,,
CD19,BC26,,,
CD20,BC38,,,
CD14,BC40,,,
CD11b,BC32,,,
CD2,BC37,,,
CD107a,BC34,,,
Ki67,BC30,,,
mIgG1,BC45,yes,,
mIgG2a,BC31,yes,,
mIgG2b,BC44,yes,,
CD69,BC47,,,
CD45,BC50,,,
B2M,BC48,,,
CD274,BC1,,,PDL1
CD44,BC2,,,
CD56,BC3,,,NCAM
CD25,BC4,,,
PD-1,BC5,,,
VIM,BC7,,,
HLA-ABC,BC8,,,
CD54,BC9,,,ICAM1
CD28,BC10,,,
CD26,BC11,,,
CD27,BC12,,,
CD38,BC13,,,
CD16,BC14,,,
CD138,BC15,,,
CD155,BC16,,,
CD11c,BC17,,,
CD11a,BC18,,,
CD127,BC19,,,
CD10,BC20,,,
CTLA4,BC51,,,
KRT18,BC52,,,
CD196,BC53,,,
CD223,BC54,,,
CD39,BC55,,,
CD68,BC56,,,
CD161,BC57,,,
CD163,BC58,,,
CD200,BC59,,,
CD206,BC60,,,
CD137,BC61,,,
CD172A,BC62,,,SIRPa
TIGIT,BC63,,,
CD40L,BC64,,,
CD96,BC28,,,
CD366,BC49,,,
CD18,BC65,,,
CD70,BC66,,,
CD71,BC67,,,
ACTB,BC68,,,
CD48,BC69,,,
CD43,BC70,,,
CD62L,BC29,,,
Ox40,BC41,,,
CD57,BC6,,,
CD298,BC71,,,
